                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.0698,                0.64927,                 1.0499,                0.96092,                0.87124,                0.91505,                0.61554,                   1.09,                0.56583,                 1.0511,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.0547,                0.63689,                 1.0427,                0.94956,                0.88119,                 0.9162,                0.61943,                 1.0903,                0.56206,                 1.0554,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.0661,                0.63949,                 1.0529,                0.95428,                0.87902,                0.91552,                 0.6197,                  1.078,                0.55885,                 1.0494,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.0589,                0.63361,                 1.0459,                0.95945,                0.87579,                0.91302,                0.61695,                 1.0885,                0.56408,                 1.0452,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.0499,                0.62954,                 1.0399,                0.95412,                0.88069,                0.91595,                0.61878,                  1.084,                0.56625,                  1.048,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.0522,                0.61731,                 1.0367,                0.95339,                 0.8766,                0.91577,                0.62038,                 1.0839,                0.56657,                 1.0475,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0492,                0.62699,                 1.0409,                 0.9575,                0.87724,                0.91595,                0.61844,                 1.0854,                0.56536,                 1.0449,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0449,                0.62646,                  1.038,                0.95496,                0.89002,                0.91919,                0.62325,                 1.0757,                0.55737,                 1.0453,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.0378,                0.62031,                 1.0358,                0.95783,                0.87897,                 0.9169,                0.62018,                 1.0812,                0.56746,                 1.0434,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.0341,                0.60537,                 1.0316,                 0.9621,                0.87799,                0.91562,                0.62056,                 1.0796,                 0.5532,                  1.045,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0296,                0.60884,                 1.0329,                 0.9557,                 0.8821,                 0.9182,                0.62438,                  1.073,                0.54858,                 1.0366,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0208,                0.60066,                 1.0238,                0.95886,                0.87857,                0.91633,                0.62456,                 1.0779,                0.55247,                 1.0432,             0.00052827,             0.00052827,             0.00052827
                     71,                  1.025,                0.60419,                 1.0277,                0.95555,                 0.8785,                0.91969,                0.62324,                 1.0733,                  0.557,                 1.0386,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.0177,                0.60167,                 1.0248,                0.95174,                 0.8858,                0.92031,                0.62396,                 1.0741,                0.54446,                 1.0397,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0084,                0.58757,                  1.022,                0.96162,                0.88126,                0.91855,                0.62418,                 1.0692,                0.54965,                 1.0372,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0185,                0.59832,                  1.023,                0.95961,                0.88345,                0.92082,                 0.6268,                 1.0648,                0.54734,                 1.0333,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0121,                0.59899,                  1.021,                0.95619,                  0.882,                0.92133,                0.62682,                 1.0726,                0.54555,                 1.0391,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0043,                0.58744,                 1.0212,                0.96267,                0.87192,                0.91993,                0.62699,                 1.0748,                0.54306,                  1.038,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0131,                0.59425,                 1.0239,                0.95645,                0.88299,                0.92053,                0.62714,                 1.0712,                0.54012,                 1.0384,             0.00041275,             0.00041275,             0.00041275
                     78,                 0.9897,                0.57759,                 1.0162,                0.96635,                0.88072,                0.92212,                 0.6275,                 1.0692,                0.53675,                 1.0368,             0.00039625,             0.00039625,             0.00039625
